sample	SRR
SU02n	SRR2347216
SU05n	SRR2347265
SU07n	SRR2347336
SU08	SRR2347337
SU21n	SRR2347338
SU25n	SRR2347339
SU26n	SRR2347340
SU29	SRR2347341
SU37n	SRR2347342
SU58n	SRR2347343
SU75n	SRR2347308
SU81n	SRR2347331
SU93n	SRR2347333
SU94	SRR2347334
CO1	SRR189041
CO2	SRR189049
NG1N	SRR189264
CO4N	SRR189050
GU2	SRR189117
CO8N	SRR189053
NG3N	SRR189414
CO16	SRR189048
GU10	SRR189114
CO15N	SRR189047
GU9	SRR189122
GA141	SRR189105
NG10N	SRR189263
GU6	SRR189120
CO14	SRR189046
GA125	SRR189100
GU7	SRR189121
GA132	SRR189104
GA191	SRR189109
GA160	SRR189107
GA185	SRR218317
NG7	SRR189267
CO10N	SRR189044
FR14	SRX058182
FR151	SRX058183
FR180	SRX058184
FR207	SRX058185
FR217	SRX058186
FR229	SRX058187
FR310	SRX058188
FR361	SRX058189
FR70	SRX058190
