2L:1-23011544	2L:?..?	 R6: in area of change
2R:1-2560000	2R:4112496..6672495	 R6: includes 2 area(s) of change
2R:2795001-8690000	2R:6907496..12802495	 R6:  
2R:11295001-11490000	2R:15407496..15602495	 R6:  
2R:16320001-19405000	2R:20432496..23517477	 R6: includes 2 area(s) of change
3L:1-24543557	3L:1..24550457	 R6: includes 3 area(s) of change
3R:1-27905053	3R:4174279..32079331	 R6:  
X:1-110000	X:103614..213032	 R6: includes 68 area(s) of change
X:175001-375000	X:280968..480967	 R6:  
X:2895001-3115000	X:3000968..3220967	 R6:  
X:4530001-4865000	X:4635968..4970967	 R6: includes 1 area of change
X:5270001-5675000	X:5375968..5780967	 R6:  
X:10625001-12115000	X:10730968..12220967	 R6:  
X:18760001-19390000	X:18865968..19495967	 R6:  
X:20915001-21125000	X:21043974..21253973	 R6:  
X:21445001-21780000	X:21573974..22378167	 R6: includes 16 area(s) of change
X:22205001-22422827	X:22803165..23020991	 R6:  
2L:1675001-1905000	2L:1675001..1905000	 R6:  
2L:21320001-21510000	2L:21320001..21510000	 R6: includes 1 area of change
2L:22275001-22775000	2L:22275001..22882268	 R6: includes 1 area of change
2R:1-1225000	2R:4112496..5337495	 R6: includes 2 area(s) of change
2R:11295001-11490000	2R:15407496..15602495	 R6:  
3L:1-24543557	3L:1..24550457	 R6: includes 3 area(s) of change
3R:1-7605000	3R:4174279..11779278	 R6:  
3R:18710001-18955000	3R:22884279..23129278	 R6:  
3R:19260001-19515000	3R:23434279..23689278	 R6:  
X:1-105000	X:103614..208038	 R6: includes 37 area(s) of change
X:2960001-3985000	X:3065968..4090967	 R6:  
X:6690001-10170000	X:6795968..10275967	 R6:  
X:11210001-11550000	X:11315968..11655967	 R6:  
X:21455001-21780000	X:21583974..22378167	 R6: includes 16 area(s) of change
2L:1675001-1915000	2L:1675001..1915000	 R6:  
2L:21275001-21510000	2L:21275001..21510000	 R6: includes 1 area of change
2L:22080001-23011544	2L:?..?	 R6: in area of change
2R:1-1585000	2R:4112496..5697495	 R6: includes 2 area(s) of change
2R:2065001-2400000	2R:6177496..6512495	 R6:  
2R:11295001-11490000	2R:15407496..15602495	 R6:  
3L:23555001-24543557	3L:23561901..24550457	 R6: includes 2 area(s) of change
3R:1-100000	3R:4174279..4274278	 R6:  
3R:3770001-3965000	3R:7944279..8139278	 R6:  
3R:8140001-8390000	3R:12314279..12564278	 R6:  
3R:19260001-19515000	3R:23434279..23689278	 R6:  
X:1-285000	X:103614..390967	 R6: includes 105 area(s) of change
X:6180001-6425000	X:6285968..6530967	 R6:  
X:11335001-11550000	X:11440968..11655967	 R6:  
X:21410001-21950000	X:21538974..22548164	 R6: includes 22 area(s) of change
2L:1670001-1910000	2L:1670001..1910000	 R6:  
2L:20045001-20280000	2L:20045001..20280000	 R6:  
2L:21300001-21500000	2L:21300001..21500000	 R6: includes 1 area of change
2L:21440001-21720000	2L:21440001..21720000	 R6: includes 1 area of change
2L:22000001-23011544	2L:?..?	 R6: in area of change
X:1-110000	X:103614..213032	 R6: includes 68 area(s) of change
X:5610001-5860000	X:5715968..5965967	 R6:  
X:19675001-20170000	X:19780968..20298973	 R6: includes 24 area(s) of change
X:21405001-21780000	X:21533974..22378167	 R6: includes 16 area(s) of change
X:21705001-21950000	X:?..?	 R6: in area of change
X:22215001-22422827	X:22813165..23020991	 R6:  
3L:1-24543557	3L:1..24550457	 R6: includes 3 area(s) of change
2R:1-890000	2R:4112496..5002495	 R6: includes 2 area(s) of change
2R:1045001-1455000	2R:5157496..5567495	 R6:  
2R:20485001-20685000	2R:24597478..24797477	 R6:  
2R:21045001-21146708	2R:25157478..25259185	 R6:  
3R:1-4985000	3R:4174279..9159278	 R6:  
3R:6930001-8460000	3R:11104279..12634278	 R6:  
3R:9380001-9845000	3R:13554279..14019278	 R6:  
3R:11400001-13095000	3R:15574279..17269278	 R6:  
3R:13025001-13470000	3R:17199279..17644278	 R6:  
2L:20045001-20275000	2L:20045001..20275000	 R6:  
2L:21330001-21510000	2L:21330001..21510000	 R6: includes 1 area of change
2L:21450001-21670000	2L:21450001..21670000	 R6: includes 1 area of change
2L:22115001-23011544	2L:?..?	 R6: in area of change
X:1-115000	X:?..?	 R6: in area of change
X:2070001-2900000	X:2175968..3005967	 R6:  
X:9250001-9500000	X:9355968..9605967	 R6:  
X:21425001-21930000	X:21553974..22528164	 R6: includes 22 area(s) of change
X:22190001-22422827	X:22788165..23020991	 R6:  
3L:8800001-9580000	3L:8806901..9586900	 R6:  
3L:9650001-9985000	3L:9656901..9991900	 R6:  
3L:22950001-23640000	3L:22956901..23646900	 R6:  
3L:23555001-23905000	3L:23561901..23911900	 R6:  
3L:23870001-24380000	3L:23876901..24386900	 R6:  
3L:24365001-24543557	3L:24371901..24550457	 R6: includes 2 area(s) of change
2R:1-860000	2R:4112496..4972495	 R6: includes 2 area(s) of change
2R:2200001-2475000	2R:6312496..6587495	 R6:  
2R:8830001-9100000	2R:12942496..13212495	 R6:  
2R:20485001-20685000	2R:24597478..24797477	 R6:  
2R:21045001-21146708	2R:25157478..25259185	 R6:  
3R:240001-440000	3R:4414279..4614278	 R6:  
3R:670001-870000	3R:4844279..5044278	 R6:  
3R:6900001-7100000	3R:11074279..11274278	 R6:  
3R:19260001-19515000	3R:23434279..23689278	 R6:  
3R:26260001-27905000	3R:30434279..32079278	 R6:  
2L:1670001-1910000	2L:1670001..1910000	 R6:  
2L:18690001-21510000	2L:18690001..21510000	 R6: includes 1 area of change
2L:21450001-23011544	2L:?..?	 R6: in area of change
X:1-145000	X:103614..250967	 R6: includes 105 area(s) of change
X:340001-540000	X:445968..645967	 R6:  
X:495001-705000	X:600968..810967	 R6:  
X:8050001-8455000	X:8155968..8560967	 R6:  
X:15485001-15970000	X:15590968..16075967	 R6:  
