sample,2L,2R,3L,3R
CO1,ST,ST,ST,In(3R)K
CO10N,ST,ST,ST,In(3R)K
CO14,In(2L)t,ST,ST,In(3R)P
CO15N,ST,ST,ST,In(3R)K
CO16,ST,ST,ST,In(3R)K
CO2,ST,ST,ST,In(3R)K
CO4N,ST,ST,ST,In(3R)K
CO8N,ST,ST,ST,In(3R)K
EG12N,In(2L)t,In(2R)NS,ST,In(3R)Mo
EG15N,ST,In(2R)NS,ST,ST
EG16N,In(2L)t,ST,In(3L)P_poli,"In(3R)K_poli,In(3R)P_poli"
EG25N,ST,ST,ST,In(3R)Mo
EG26N,In(2L)t_poli,In(2R)NS_poli,ST,In(3R)Mo
EG28N,ST,In(2R)NS_poli,ST,ST
EG29N,ST,In(2R)NS,ST,In(3R)P_poli
EG31N,In(2L)t,ST,In(3L)P_poli,"In(3R)Mo_poli,In(3R)P_poli"
EG33N,In(2L)t_poli,ST,ST,In(3R)P_poli
EG34N,In(2L)t,ST,In(3L)P_poli,In(3R)K_poli
EG35N,In(2L)t_poli,In(2R)NS_poli,ST,In(3R)Mo
EG36N,ST,ST,ST,"In(3R)K_poli,In(3R)Mo_poli"
EG38N,In(2L)t_poli,ST,In(3L)P_poli,"In(3R)K_poli,In(3R)P_poli"
EG44N,In(2L)t_poli,ST,ST,In(3R)Mo_poli
EG46N,ST,In(2R)NS_poli,In(3L)P_poli,ST
EG48N,In(2L)t,ST,ST,In(3R)P_poli
EG49N,ST,ST,ST,In(3R)P_poli
EG50N,In(2L)t,ST,ST,ST
EG53N,In(2L)t_poli,ST,ST,In(3R)K_poli
EG54N,In(2L)t,ST,ST,"In(3R)K_poli,In(3R)P_poli"
EG57N,In(2L)t,ST,ST,In(3R)K
EG58N,In(2L)t,ST,In(3L)P_poli,In(3R)Mo
EG59N,In(2L)t,ST,In(3L)P_poli,In(3R)P_poli
EG65N,In(2L)t,In(2R)NS_poli,In(3L)P_poli,In(3R)P_poli
EG70N,ST,In(2R)NS,ST,In(3R)Mo_poli
EG74N,In(2L)t_poli,In(2R)NS_poli,ST,ST
EG75N,In(2L)t_poli,ST,In(3L)P_poli,In(3R)Mo_poli
EG76N,ST,ST,In(3L)P_poli,In(3R)Mo_poli
FR180,In(2L)t,ST,ST,In(3R)P
FR217,ST,ST,In(3L)P,In(3R)K
FR229,ST,ST,ST,In(3R)P
FR310,ST,ST,ST,In(3R)Mo
FR361,ST,ST,In(3L)P,In(3R)P
GA125,In(2L)t,ST,ST,In(3R)K
GA132,ST,ST,ST,In(3R)P
GA141,In(2L)t,ST,ST,ST
GA160,In(2L)t,ST,ST,In(3R)P
GA185,ST,ST,ST,In(3R)P
GU10,ST,ST,ST,In(3R)K
GU6,ST,ST,ST,In(3R)K
GU7,In(2L)t,ST,ST,In(3R)P
GU9,ST,ST,ST,In(3R)P
NG10N,In(2L)t,ST,In(3L)P,In(3R)P
NG1N,In(2L)t,In(2R)NS,ST,In(3R)K
NG3N,In(2L)t,ST,In(3L)P,ST
ZI114N,In(2L)t,ST,In(3L)Ok,ST
ZI117,In(2L)t,ST,ST,ST
ZI161,In(2L)t,ST,In(3L)Ok,ST
ZI194,ST,ST,In(3L)Ok,ST
ZI210,ST,ST,In(3L)Ok,ST
ZI213,ST,In(2R)Mal,In(3L)Ok,ST
ZI214,ST,ST,ST,In(3R)K
ZI219,ST,ST,In(3L)Ok,ST
ZI232,In(2L)t,ST,ST,ST
ZI233,ST,ST,ST,In(3R)P
ZI235,In(2L)t,In(2R)NS,ST,ST
ZI239,ST,ST,In(3L)Ok,ST
ZI253,In(2L)t,ST,ST,ST
ZI255,ST,In(2R)NS,ST,ST
ZI267,ST,ST,ST,In(3R)K
ZI27,In(2L)t,In(2R)NS,ST,ST
ZI292,ST,ST,In(3L)Ok,In(3R)P
ZI296,ST,ST,ST,In(3R)K
ZI303,ST,ST,In(3L)Ok,ST
ZI321,In(2L)t,In(2R)NS,ST,ST
ZI333,ST,ST,ST,In(3R)K
ZI339,In(2L)t,ST,In(3L)Ok,ST
ZI341,ST,ST,In(3L)Ok,In(3R)P
ZI358,ST,ST,In(3L)Ok,ST
ZI364,ST,In(2R)NS,In(3L)Ok,ST
ZI365,ST,ST,In(3L)Ok,ST
ZI368,ST,ST,ST,In(3R)K
ZI379,ST,ST,ST,In(3R)K
ZI384,ST,ST,In(3L)Ok,In(3R)P
ZI388,ST,ST,In(3L)Ok,ST
ZI400,ST,ST,ST,In(3R)K
ZI437,ST,ST,ST,In(3R)K
ZI443,ST,ST,ST,In(3R)K
ZI456,In(2L)t,ST,ST,ST
ZI476,ST,ST,ST,In(3R)K
ZI486,In(2L)t,ST,In(3L)Ok,In(3R)P
ZI523,ST,ST,ST,In(3R)K
ZI527,In(2L)t,In(2R)NS,ST,ST
ZI90,ST,ST,ST,In(3R)K
