# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
128up	FBgn0010339	FBtr0087976	protein_coding	0	33	3	58	1	0	0	20	0	19	3	0	0	0	7	0	0	0	0	26	25
14-3-3epsilon	FBgn0020238	FBtr0083565	protein_coding	0	4	0	88	2	0	0	5	0	73	0	0	0	0	1	0	0	0	0	3	8
14-3-3epsilon	FBgn0020238	FBtr0083566	protein_coding	0	3	0	115	12	0	0	19	0	73	0	0	0	0	0	0	0	0	0	3	11
14-3-3epsilon	FBgn0020238	FBtr0083567	protein_coding	0	4	0	88	2	0	0	5	0	73	0	0	0	0	1	0	0	0	0	3	8
14-3-3epsilon	FBgn0020238	FBtr0083568	protein_coding	0	3	0	121	15	0	0	22	0	73	0	0	0	0	0	0	0	0	0	3	11
14-3-3zeta	FBgn0004907	FBtr0088412	protein_coding	0	10	2	164	21	1	3	27	0	98	2	0	0	0	1	0	0	0	0	8	16
14-3-3zeta	FBgn0004907	FBtr0088413	protein_coding	0	10	2	118	14	1	3	7	0	86	2	0	0	0	1	0	0	0	0	8	9
14-3-3zeta	FBgn0004907	FBtr0088414	protein_coding	0	9	0	148	21	1	3	27	0	88	0	0	0	0	0	0	0	0	0	8	9
14-3-3zeta	FBgn0004907	FBtr0088415	protein_coding	0	9	0	167	21	1	3	27	0	100	0	0	0	0	0	0	0	0	0	8	16
14-3-3zeta	FBgn0004907	FBtr0088416	protein_coding	0	10	1	138	14	1	3	7	0	99	1	0	0	0	1	0	0	0	0	8	16
14-3-3zeta	FBgn0004907	FBtr0088417	protein_coding	0	10	2	145	21	1	4	27	0	85	2	0	0	0	1	0	0	0	0	8	9
14-3-3zeta	FBgn0004907	FBtr0088418	protein_coding	0	10	2	164	21	1	3	27	0	98	2	0	0	0	1	0	0	0	0	8	16
14-3-3zeta	FBgn0004907	FBtr0088419	protein_coding	0	10	1	146	21	1	3	27	0	87	1	0	0	0	1	0	0	0	0	8	9
14-3-3zeta	FBgn0004907	FBtr0100182	protein_coding	0	10	2	114	0	1	3	17	0	86	2	0	0	0	1	0	0	0	0	8	9
14-3-3zeta	FBgn0004907	FBtr0100183	protein_coding	0	9	0	121	14	1	3	7	0	88	0	0	0	0	0	0	0	0	0	8	9
14-3-3zeta	FBgn0004907	FBtr0332916	protein_coding	0	9	0	137	21	1	4	27	0	60	0	0	0	0	0	0	0	0	0	8	25
14-3-3zeta	FBgn0004907	FBtr0332917	protein_coding	0	10	0	84	14	1	3	7	0	35	0	0	0	0	1	0	0	0	0	8	26
140up	FBgn0010340	FBtr0082909	protein_coding	0	13	4	39	1	0	0	21	0	5	4	0	0	0	1	0	0	0	0	12	13
140up	FBgn0010340	FBtr0337095	protein_coding	0	14	4	43	11	0	0	15	0	5	4	0	0	0	2	0	0	0	0	12	13
18w	FBgn0004364	FBtr0086309	protein_coding	0	71	9	46	8	0	5	20	0	0	9	0	0	0	0	0	0	0	0	71	13
26-29-p	FBgn0250848	FBtr0075766	protein_coding	0	30	1	54	2	0	3	18	0	12	1	0	0	0	1	0	0	0	0	29	20
2mit	FBgn0260793	FBtr0301436	protein_coding	0	44	34	510	73	0	20	14	0	385	34	0	0	0	1	0	0	0	0	43	19
2mit	FBgn0260793	FBtr0330143	protein_coding	0	44	34	510	73	0	20	14	0	385	34	0	0	0	1	0	0	0	0	43	19
2mit	FBgn0260793	FBtr0344729	protein_coding	0	43	34	106	12	0	0	32	0	43	34	0	0	0	0	0	0	0	0	43	19
2mit	FBgn0260793	FBtr0344730	protein_coding	0	43	34	127	52	0	0	13	0	43	34	0	0	0	0	0	0	0	0	43	19
312	FBgn0029514	FBtr0072680	protein_coding	1	10	11	62	25	0	1	26	0	7	11	0	0	0	0	0	1	0	0	10	3
312	FBgn0029514	FBtr0310160	protein_coding	1	10	11	44	2	0	1	31	0	7	11	0	0	0	0	0	1	0	0	10	3
5-HT1A	FBgn0004168	FBtr0086577	protein_coding	0	40	18	1414	19	1	24	45	0	1301	18	0	0	0	2	0	0	0	0	37	27
5-HT1A	FBgn0004168	FBtr0474126	protein_coding	0	40	18	1414	19	1	24	45	0	1301	18	0	0	0	2	0	0	0	0	37	27
5-HT1B	FBgn0263116	FBtr0086599	protein_coding	0	32	7	173	5	0	13	17	0	109	7	0	0	0	5	0	0	0	0	28	33
