Line	Chrom	Start	Stop
EG40N	Chr2L	1	23011544
EG40N	Chr2R	1	2560000
EG40N	Chr2R	2795001	8690000
EG40N	Chr2R	11295001	11490000
EG40N	Chr2R	16320001	19405000
EG40N	Chr3L	1	24543557
EG40N	Chr3R	1	27905053
EG40N	ChrX	1	110000
EG40N	ChrX	175001	375000
EG40N	ChrX	2895001	3115000
EG40N	ChrX	4530001	4865000
EG40N	ChrX	5270001	5675000
EG40N	ChrX	10625001	12115000
EG40N	ChrX	18760001	19390000
EG40N	ChrX	20915001	21125000
EG40N	ChrX	21445001	21780000
EG40N	ChrX	22205001	22422827
EG69N	Chr2L	1675001	1905000
EG69N	Chr2L	21320001	21510000
EG69N	Chr2L	22275001	22775000
EG69N	Chr2R	1	1225000
EG69N	Chr2R	11295001	11490000
EG69N	Chr3L	1	24543557
EG69N	Chr3R	1	7605000
EG69N	Chr3R	18710001	18955000
EG69N	Chr3R	19260001	19515000
EG69N	ChrX	1	105000
EG69N	ChrX	2960001	3985000
EG69N	ChrX	6690001	10170000
EG69N	ChrX	11210001	11550000
EG69N	ChrX	21455001	21780000
EG73N	Chr2L	1675001	1915000
EG73N	Chr2L	21275001	21510000
EG73N	Chr2L	22080001	23011544
EG73N	Chr2R	1	1585000
EG73N	Chr2R	2065001	2400000
EG73N	Chr2R	11295001	11490000
EG73N	Chr3L	23555001	24543557
EG73N	Chr3R	1	100000
EG73N	Chr3R	3770001	3965000
EG73N	Chr3R	8140001	8390000
EG73N	Chr3R	19260001	19515000
EG73N	ChrX	1	285000
EG73N	ChrX	6180001	6425000
EG73N	ChrX	11335001	11550000
EG73N	ChrX	21410001	21950000
EG12N	Chr2L	1670001	1910000
EG12N	Chr2L	20045001	20280000
EG12N	Chr2L	21300001	21500000
EG12N	Chr2L	21440001	21720000
EG12N	Chr2L	22000001	23011544
EG12N	ChrX	1	110000
EG12N	ChrX	5610001	5860000
EG12N	ChrX	19675001	20170000
EG12N	ChrX	21405001	21780000
EG12N	ChrX	21705001	21950000
EG12N	ChrX	22215001	22422827
EG12N	Chr3L	1	24543557
EG12N	Chr2R	1	890000
EG12N	Chr2R	1045001	1455000
EG12N	Chr2R	20485001	20685000
EG12N	Chr2R	21045001	21146708
EG12N	Chr3R	1	4985000
EG12N	Chr3R	6930001	8460000
EG12N	Chr3R	9380001	9845000
EG12N	Chr3R	11400001	13095000
EG12N	Chr3R	13025001	13470000
EG15N	Chr2L	20045001	20275000
EG15N	Chr2L	21330001	21510000
EG15N	Chr2L	21450001	21670000
EG15N	Chr2L	22115001	23011544
EG15N	ChrX	1	115000
EG15N	ChrX	2070001	2900000
EG15N	ChrX	9250001	9500000
EG15N	ChrX	21425001	21930000
EG15N	ChrX	22190001	22422827
EG15N	Chr3L	8800001	9580000
EG15N	Chr3L	9650001	9985000
EG15N	Chr3L	22950001	23640000
EG15N	Chr3L	23555001	23905000
EG15N	Chr3L	23870001	24380000
EG15N	Chr3L	24365001	24543557
EG15N	Chr2R	1	860000
EG15N	Chr2R	2200001	2475000
EG15N	Chr2R	8830001	9100000
EG15N	Chr2R	20485001	20685000
EG15N	Chr2R	21045001	21146708
EG15N	Chr3R	240001	440000
EG15N	Chr3R	670001	870000
EG15N	Chr3R	6900001	7100000
EG15N	Chr3R	19260001	19515000
EG15N	Chr3R	26260001	27905000
EG16N	Chr2L	1670001	1910000
EG16N	Chr2L	18690001	21510000
EG16N	Chr2L	21450001	23011544
EG16N	ChrX	1	145000
EG16N	ChrX	340001	540000
EG16N	ChrX	495001	705000
EG16N	ChrX	8050001	8455000
EG16N	ChrX	15485001	15970000
EG16N	ChrX	19355001	22422827
EG16N	Chr3L	1	1015000
EG16N	Chr3L	935001	24543557
EG16N	Chr2R	1	5855000
EG16N	Chr2R	21045001	21146708
EG16N	Chr3R	1	26260000
EG16N	Chr3R	26615001	27525000
EG16N	Chr3R	27435001	27905000
EG25N	Chr2L	20045001	20290000
EG25N	Chr2L	21325001	21670000
EG25N	Chr2L	22100001	22320000
EG25N	Chr2L	22270001	22905000
EG25N	Chr2L	22885001	23011544
EG25N	ChrX	1	140000
EG25N	ChrX	10825001	11550000
EG25N	ChrX	14075001	14465000
EG25N	ChrX	18865001	19365000
EG25N	ChrX	20860001	21140000
EG25N	ChrX	21500001	21770000
EG25N	ChrX	21675001	21905000
EG25N	ChrX	22320001	22422827
EG25N	Chr3L	1	2480000
EG25N	Chr3L	20235001	20435000
EG25N	Chr3L	23265001	24245000
EG25N	Chr3L	24355001	24543557
EG25N	Chr2R	1	470000
EG25N	Chr2R	395001	820000
EG25N	Chr2R	2060001	2330000
EG25N	Chr2R	2245001	2460000
EG25N	Chr2R	8810001	10240000
EG25N	Chr2R	10685001	14035000
EG25N	Chr2R	14185001	16425000
EG25N	Chr2R	18295001	18525000
EG25N	Chr2R	20485001	20685000
EG25N	Chr2R	21045001	21146708
EG25N	Chr3R	4700001	12135000
EG26N	Chr2L	1	21515000
EG26N	Chr2L	21445001	23011544
EG26N	ChrX	1	195000
EG26N	ChrX	2305001	2750000
EG26N	ChrX	6700001	9280000
EG26N	ChrX	11320001	11545000
EG26N	ChrX	12495001	12965000
EG26N	ChrX	14115001	14505000
EG26N	ChrX	21440001	21780000
EG26N	ChrX	22230001	22422827
EG26N	Chr3L	1	2365000
EG26N	Chr3L	8750001	9915000
EG26N	Chr3L	9835001	15105000
EG26N	Chr3L	22865001	24543557
EG26N	Chr2R	1	2110000
EG26N	Chr2R	2060001	2310000
EG26N	Chr2R	2295001	21146708
EG26N	Chr3R	220001	440000
EG26N	Chr3R	6900001	7100000
EG26N	Chr3R	15490001	16145000
EG26N	Chr3R	16100001	16495000
EG26N	Chr3R	16495001	17190000
EG26N	Chr3R	19255001	19515000
EG26N	Chr3R	21600001	24010000
EG26N	Chr3R	23975001	24555000
EG26N	Chr3R	24470001	24895000
EG26N	Chr3R	25130001	25765000
EG26N	Chr3R	25670001	26615000
EG26N	Chr3R	26540001	26990000
EG28N	Chr2L	1	3870000
EG28N	Chr2L	4800001	7695000
EG28N	Chr2L	9265001	13835000
EG28N	Chr2L	13745001	21505000
EG28N	Chr2L	21445001	23011544
EG28N	ChrX	1	115000
EG28N	ChrX	11230001	11550000
EG28N	ChrX	21500001	21780000
EG28N	ChrX	22190001	22422827
EG28N	Chr3L	5215001	6550000
EG28N	Chr3L	6800001	8940000
EG28N	Chr3L	9685001	13920000
EG28N	Chr3L	13830001	14530000
EG28N	Chr3L	14450001	15650000
EG28N	Chr3L	16330001	17210000
EG28N	Chr3L	22950001	24543557
EG28N	Chr2R	1	9275000
EG28N	Chr2R	9315001	19210000
EG28N	Chr2R	19155001	21146708
EG28N	Chr3R	1	100000
EG28N	Chr3R	19255001	19515000
EG29N	Chr2L	1	125000
EG29N	Chr2L	14605001	21510000
EG29N	Chr2L	21445001	23011544
EG29N	ChrX	1	140000
EG29N	ChrX	140001	410000
EG29N	ChrX	6425001	6725000
EG29N	ChrX	11325001	11550000
EG29N	ChrX	14220001	14505000
EG29N	ChrX	14705001	14905000
EG29N	ChrX	21455001	21780000
EG29N	ChrX	22210001	22422827
EG29N	Chr3L	1	3860000
EG29N	Chr3L	3780001	5220000
EG29N	Chr3L	5265001	24543557
EG29N	Chr2R	1	5985000
EG29N	Chr2R	6890001	8400000
EG29N	Chr2R	21045001	21146708
EG29N	Chr3R	1	27905000
EG31N	Chr2L	1	220000
EG31N	Chr2L	795001	2185000
EG31N	Chr2L	2095001	6775000
EG31N	Chr2L	12030001	15100000
EG31N	Chr2L	19815001	20425000
EG31N	Chr2L	21280001	21515000
